TP_ABRANGENCIA;SG_UF;DS_CARGO;DS_SITUACAO_CANDIDATURA;TP_AGREMIACAO;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;;;;DS_COR_RACA;ST_REELEICAO;ST_DECLARAR_BENS
ESTADUAL;PE;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;PE;42;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;SP;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;PR;44;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);;;;BRANCA;N;N
ESTADUAL;PE;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;PE;52;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;PARDA;N;S
ESTADUAL;RJ;DEPUTADO FEDERAL;APTO;PARTIDO ISOLADO;RJ;53;FEMININO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;N
ESTADUAL;MT;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;SP;60;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;SC;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;SC;53;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;AM;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;AM;30;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;PARDA;N;S
ESTADUAL;SP;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;SP;66;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);;;;BRANCA;N;S
ESTADUAL;MG;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MG;52;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;MS;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MS;71;FEMININO;ENSINO MÉDIO COMPLETO;VIÚVO(A);;;;PARDA;N;N
ESTADUAL;PA;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MA;56;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;PARDA;N;S
ESTADUAL;MG;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MG;57;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;S;S
ESTADUAL;MG;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MG;50;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;CE;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;CE;59;MASCULINO;LÊ E ESCREVE;SOLTEIRO(A);;;;BRANCA;N;N
ESTADUAL;SP;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;ZZ;60;FEMININO;SUPERIOR COMPLETO;CASADO(A);;;;AMARELA;N;S
ESTADUAL;RR;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;PA;41;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);;;;PARDA;N;N
ESTADUAL;MT;SENADOR;APTO;PARTIDO ISOLADO;MS;64;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;MS;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MS;54;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);;;;INDÍGENA;N;N
ESTADUAL;PB;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;PB;45;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;ES;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;ES;40;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;N
ESTADUAL;GO;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;GO;52;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;PARDA;N;N
ESTADUAL;GO;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;GO;89;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;DF;DEPUTADO DISTRITAL;APTO;PARTIDO ISOLADO;MG;37;FEMININO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;RJ;DEPUTADO FEDERAL;APTO;PARTIDO ISOLADO;RJ;58;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;RJ;68;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;PARDA;N;N
ESTADUAL;RR;DEPUTADO FEDERAL;INAPTO;COLIGAÇÃO;RR;34;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;PARDA;N;S
ESTADUAL;RJ;DEPUTADO ESTADUAL;INAPTO;PARTIDO ISOLADO;RJ;38;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;BRANCA;N;N
ESTADUAL;RJ;DEPUTADO ESTADUAL;INAPTO;PARTIDO ISOLADO;RJ;47;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;N
ESTADUAL;DF;DEPUTADO DISTRITAL;APTO;COLIGAÇÃO;DF;44;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;DF;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;DF;51;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;CE;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;CE;63;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);;;;BRANCA;S;S
ESTADUAL;GO;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MG;40;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;GO;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;GO;60;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;RJ;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;RJ;50;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;MG;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;MG;45;FEMININO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;RJ;2º SUPLENTE;APTO;PARTIDO ISOLADO;RJ;55;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;BRANCA;N;N
ESTADUAL;GO;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;GO;40;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;PE;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;PE;48;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);;;;BRANCA;N;N
ESTADUAL;SP;DEPUTADO FEDERAL;APTO;PARTIDO ISOLADO;SP;58;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;BA;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;BA;45;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;MT;DEPUTADO FEDERAL;APTO;PARTIDO ISOLADO;GO;40;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;SP;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;SP;30;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;BRANCA;N;S
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RJ;50;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;RJ;55;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;DIVORCIADO(A);;;;BRANCA;N;N
ESTADUAL;ES;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;ES;36;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;SC;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;SC;57;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;RS;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;RS;64;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);;;;BRANCA;N;S
ESTADUAL;RO;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;CE;67;MASCULINO;ENSINO MÉDIO INCOMPLETO;VIÚVO(A);;;;PARDA;N;N
ESTADUAL;RO;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;PE;53;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);;;;BRANCA;S;S
ESTADUAL;ES;VICE-GOVERNADOR;APTO;COLIGAÇÃO;RJ;43;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);;;;PRETA;N;S
ESTADUAL;AC;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;AC;57;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;MG;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;MG;45;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);;;;PARDA;N;N
ESTADUAL;RS;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;RS;51;MASCULINO;SUPERIOR COMPLETO;SEPARADO(A) JUDICIALMENTE;;;;BRANCA;N;S
ESTADUAL;SP;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;SP;57;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;MS;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;MS;51;MASCULINO;LÊ E ESCREVE;SOLTEIRO(A);;;;PARDA;N;N
ESTADUAL;DF;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;RJ;29;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PRETA;N;S
ESTADUAL;TO;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;TO;40;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;BRANCA;N;S
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RJ;45;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);;;;PRETA;N;S
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;RJ;40;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);;;;PARDA;N;N
ESTADUAL;SC;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;SC;38;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;PARDA;N;S
ESTADUAL;GO;DEPUTADO FEDERAL;INAPTO;COLIGAÇÃO;MA;45;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;N
ESTADUAL;MS;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MS;57;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;PARDA;N;N
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;CE;49;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;PARDA;N;S
ESTADUAL;TO;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;RJ;51;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);;;;PARDA;N;S
ESTADUAL;MG;2º SUPLENTE;APTO;PARTIDO ISOLADO;MG;36;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;RR;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;PA;43;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;BRANCA;N;S
ESTADUAL;PA;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;PA;37;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;PARDA;N;N
ESTADUAL;RJ;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;RJ;52;FEMININO;SUPERIOR INCOMPLETO;DIVORCIADO(A);;;;PRETA;N;S
ESTADUAL;MS;GOVERNADOR;APTO;COLIGAÇÃO;CE;69;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;RR;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;ZZ;52;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;BRANCA;N;N
ESTADUAL;RJ;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;RJ;27;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;S;S
ESTADUAL;SP;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;SP;52;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;PRETA;N;N
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;RJ;59;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);;;;PRETA;N;N
ESTADUAL;SP;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;SP;46;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;S;S
ESTADUAL;RJ;DEPUTADO FEDERAL;APTO;PARTIDO ISOLADO;RJ;58;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;N
ESTADUAL;MG;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;MG;61;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);;;;BRANCA;N;S
ESTADUAL;AP;2º SUPLENTE;APTO;PARTIDO ISOLADO;PA;50;MASCULINO;LÊ E ESCREVE;SOLTEIRO(A);;;;PRETA;N;N
ESTADUAL;DF;DEPUTADO DISTRITAL;APTO;PARTIDO ISOLADO;CE;39;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;RJ;66;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;RJ;40;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;MG;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;MG;45;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;SP;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;SP;67;MASCULINO;ENSINO MÉDIO COMPLETO;SEPARADO(A) JUDICIALMENTE;;;;BRANCA;N;S
ESTADUAL;RN;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;PA;39;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;RS;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RS;57;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;BRANCA;N;S
ESTADUAL;SC;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;SC;38;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;BRANCA;N;S
ESTADUAL;PR;DEPUTADO FEDERAL;APTO;PARTIDO ISOLADO;PR;46;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);;;;BRANCA;N;N
ESTADUAL;AM;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;AC;56;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;S;S
ESTADUAL;PR;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;CE;50;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;MG;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MG;63;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;PARDA;N;N
ESTADUAL;PE;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;PE;49;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;PARDA;N;N
ESTADUAL;SP;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;SP;36;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);;;;PRETA;N;N
ESTADUAL;AC;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;AC;23;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;BRANCA;N;N
ESTADUAL;RS;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RS;36;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;BRANCA;N;S
ESTADUAL;MT;DEPUTADO FEDERAL;APTO;PARTIDO ISOLADO;PR;37;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);;;;AMARELA;N;S
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;RJ;67;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);;;;BRANCA;N;S
ESTADUAL;CE;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;PI;38;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;GO;DEPUTADO FEDERAL;APTO;PARTIDO ISOLADO;GO;44;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;PRETA;N;S
ESTADUAL;AC;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;AC;49;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;PARDA;N;S
ESTADUAL;PA;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;PA;32;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;PRETA;N;S
ESTADUAL;MG;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;MG;36;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;MG;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MG;51;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;RJ;DEPUTADO ESTADUAL;INAPTO;COLIGAÇÃO;RJ;34;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;SP;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;SP;49;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;BRANCA;N;N
ESTADUAL;AM;2º SUPLENTE;APTO;COLIGAÇÃO;AM;39;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;PI;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;PI;58;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;S;S
ESTADUAL;MG;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;MG;55;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);;;;BRANCA;N;S
ESTADUAL;MS;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;MS;49;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;BA;DEPUTADO FEDERAL;INAPTO;COLIGAÇÃO;BA;42;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;BRANCA;N;N
ESTADUAL;RS;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RS;57;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);;;;BRANCA;N;S
ESTADUAL;SP;DEPUTADO FEDERAL;APTO;PARTIDO ISOLADO;RJ;56;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PRETA;N;S
ESTADUAL;DF;DEPUTADO DISTRITAL;APTO;COLIGAÇÃO;RJ;59;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;RR;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RS;24;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;PRETA;N;S
ESTADUAL;RS;SENADOR;APTO;PARTIDO ISOLADO;RS;49;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;RR;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RR;25;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;PARDA;N;S
ESTADUAL;PA;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;RJ;46;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;PARDA;N;N
ESTADUAL;MT;VICE-GOVERNADOR;APTO;COLIGAÇÃO;MS;55;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;RJ;47;FEMININO;SUPERIOR COMPLETO;CASADO(A);;;;PRETA;N;S
ESTADUAL;RS;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;RS;58;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;RS;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RS;51;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);;;;BRANCA;N;N
ESTADUAL;AM;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;AM;30;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;PARDA;N;N
ESTADUAL;RO;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RO;44;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;S;S
ESTADUAL;CE;VICE-GOVERNADOR;APTO;COLIGAÇÃO;CE;44;FEMININO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;AM;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;AM;43;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;RS;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;RS;60;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;BRANCA;N;S
ESTADUAL;MT;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;MA;68;FEMININO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);;;;PRETA;N;N
ESTADUAL;PA;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;PA;51;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);;;;PARDA;N;S
ESTADUAL;SP;DEPUTADO FEDERAL;APTO;PARTIDO ISOLADO;SP;44;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;AC;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;AC;54;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;PARDA;N;S
ESTADUAL;MA;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MA;47;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);;;;PARDA;N;S
ESTADUAL;BA;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;BA;58;FEMININO;ENSINO MÉDIO INCOMPLETO;CASADO(A);;;;PRETA;N;N
ESTADUAL;MT;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MT;42;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RJ;58;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;BRANCA;N;S
ESTADUAL;PA;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;PA;34;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;PARDA;N;S
ESTADUAL;DF;DEPUTADO DISTRITAL;APTO;COLIGAÇÃO;DF;35;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);;;;BRANCA;N;N
ESTADUAL;CE;DEPUTADO ESTADUAL;INAPTO;COLIGAÇÃO;CE;49;FEMININO;SUPERIOR INCOMPLETO;DIVORCIADO(A);;;;BRANCA;N;N
ESTADUAL;SP;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;SP;56;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;PRETA;N;S
ESTADUAL;BA;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MG;46;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;RJ;DEPUTADO ESTADUAL;APTO;PARTIDO ISOLADO;RJ;45;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;N
ESTADUAL;PR;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;SP;45;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;MS;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;MS;58;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;SP;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RJ;76;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);;;;BRANCA;N;S
ESTADUAL;RR;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;PA;35;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;MG;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;ES;50;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;SP;DEPUTADO FEDERAL;APTO;PARTIDO ISOLADO;SP;57;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;PR;DEPUTADO FEDERAL;APTO;COLIGAÇÃO;PR;51;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;N
ESTADUAL;PR;1º SUPLENTE;APTO;PARTIDO ISOLADO;PR;46;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;RS;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RS;54;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);;;;BRANCA;N;S
ESTADUAL;RN;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RN;39;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;BRANCA;N;N
ESTADUAL;RO;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RO;48;MASCULINO;SUPERIOR COMPLETO;CASADO(A);;;;PARDA;N;S
ESTADUAL;PR;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;PR;41;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);;;;BRANCA;N;N
ESTADUAL;DF;DEPUTADO DISTRITAL;APTO;PARTIDO ISOLADO;DF;52;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);;;;BRANCA;N;N
ESTADUAL;RS;DEPUTADO ESTADUAL;APTO;COLIGAÇÃO;RS;44;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);;;;BRANCA;N;S
